"keyword","press","title","date","text"
"최저임금","조선일보","[사설] 지금 고용 참사가 ""10년 전 4대강 사업 때문""이라니","입력 2018.08.21 03:20
","더불어민주당 당대표 경선에 나선 이해찬 의원은 20일 재난에 가까운 고용 부진 원인에 대해 ""이명박 정부가 4대강 살린다고 26조~27조원 정도를 쏟아붓는 바람에 다른 산업에 투자할 수 있는 재정 투자가 약해진 탓""이라고 했다. 이 의원은 하루 전에는 ""지난 10년간 이명박 박근혜 정부 때 성장 잠재력이 매우 낮아져서 지금 그 결과가 나타나고 있는 것""이라고 했다. 이 의원은 대표 당선 가능성이 높다고 한다. 세상 만사 안 좋은 일은 온통 전 정부 적폐 탓으로 돌리더니 이제는 10년 전 정부의 물관리 사업 때문에 지금 고용이 안 된다는 주장까지 나왔다. 고용 사정이 더 나빠지면 박정희 정부, 이승만 정부 탓까지 나올 것이다.5년 가까이 걸린 4대강 사업에 든 돈은 22조원이다. 이 정부가 2017년, 2018년 일자리를 만든다고 쓴 국민 세금은 본예산 추가경정예산 합쳐 50조원이 넘는다. 문재인 대통령은 작년 1월 ""4대강 사업 22조원이면 연봉 2200만원 일자리 100만개 만들 수 있다""고 했다. 문 대통령식 계산법이라면 이 정부가 지금까지 쓴 국민 세금이면 연봉 5000만원 일자리를 100만개 만들 수 있었다. 그러나 지난달 취업자 수는 작년 같은 기간에 비해 5000명밖에 늘지 않았다. 고용 참사에 놀라 긴급 소집된 당·정·청 회의는 4대강 규모인 22조원 이상의 국민 세금을 또 일자리 늘린다며 쓰겠다고 한다.4대강 사업은 녹조 등 부정적 영향도 있지만, 홍수와 가뭄에 대비하고 수려한 강 본연의 모습을 되찾게 하는 등 긍정 효과도 크다. 세종보를 열자 강바닥이 드러나 흉물이 된 금강 유역이 4대강 사업 전(前) 강의 모습을 보여준다. 이에 비해 이 정부가 일자리 만든다며 쓴 국민 세금 50조원은 어디로 갔는지 흔적도 없다. 내수와 임금 근로자 비중이 높은 경제에나 실험해 볼 소득 주도 성장 모델을 수출 주도에 자영업 비중이 높은 경제에 억지로 꿰맞추다 보니 독 밑바닥이 깨져 버렸다. 거기에 50조원이 아니라 100조원을 쏟아부어도 헛일이 될 가능성이 높다.이런 마당에 역시 집권당 대표 경선에 나선 김진표 의원은 ""통계 당국이나 전문가 분석을 보면 최저임금 인상과 근로시간 단축 때문에 고용 쇼크가 온 것은 아닌 것 같다""면서 ""소득 주도 성장은 효과가 나올 때까지 3년이 걸리는 만큼 일관되게 밀고 나가야 한다""고 했다. 최저임금을 내년에도 두 자릿수로 올려야 한다는 말인가. 경제 전문가 열에 아홉은 정책 기조를 바꿔야 한다고 입을 모으고 있는데 경제부총리까지 지낸 김 의원은 어떤 전문가에게 이런 말을 들었나. 문 대통령 지지자들의 표를 얻기 위한 발언이라고 해도 정도가 있어야 한다. 집권당은 현장에서 접한 민생의 소리를 정부에 전해야 한다. 현직 경제부총리마저 정책 방향을 수정할 필요가 있다고 하는 마당에 집권당 지도부가 되겠다는 사람들이 잘못 끼운 단추를 풀지 말자고 한다. 이렇게 계속 가자고 한다. 그러면서 10년 전 탓을 한다. 아집과 오기가 무서울 정도다."
"최저임금","조선일보","[사설] ""최저임금 인상 긍정 효과 90%"" 인식 그대로인 文 대통령","입력 2018.08.21 03:19
","문재인 대통령이 어제 ""고용 상황이 개선되지 않고 오히려 악화되는 모습을 보이고 있어서 마음이 매우 무겁다""고 했다. ""고용 위기 해소를 위해 재정과 정책을 운용해 왔지만 결과를 놓고 보면 충분하지 못했다는 것을 인정하지 않을 수 없다""고도 했다. 거의 모든 고용 통계가 외환위기·금융위기 당시를 방불케 할 정도로 악화돼 재난(災難)이라는 말이 나올 지경이니 대통령도 답답할 것이다. '일자리 정부'라더니 불과 1년 만에 정반대의 결과를 만들어낸 것이 당혹스러웠을 것이다.그러나 문 대통령은 고용 참사가 정부의 잘못된 정책 때문이라는 점은 끝내 인정하지 않았다. 거꾸로 더 밀어붙이겠다고 했다. ""고용 상황이 어려운 분야와 연령대에 대해 더욱 다양하고 강력한 대책들을 마련해야 한다""고 지시했다. 또 ""올해와 내년도 세수 전망이 좋은 만큼 정부는 늘어나는 세수를 충분히 활용하여 적극적인 재정 정책을 펼쳐주길 바란다""고 했다. 지금보다 더 세금 퍼붓는 속도를 높이라는 뜻이다.문 대통령은 이런 지시와 함께 ""청와대와 정부의 경제팀 모두가 완벽한 팀워크로 결과에 직(職)을 건다는 결의로 임해 달라""고 했다. 전날 열린 고용 관련 당·정·청 대책회의에서 소득 주도 성장 관련 ""정부를 믿고 기다려 달라""는 청와대 정책실장과 ""수정도 검토하겠다""는 경제부총리가 이견을 보인 것을 염두에 둔 발언이다. 대통령이 정책 기조를 그대로 밀고 가자고 하면서 '팀워크'를 강조한 것은 경제부총리에게 주장을 거두라는 지시로 들린다. 대통령은 ""정책에서 무엇보다 두려워해야 할 것은 난관보다 국민의 신뢰를 잃는 것""이라고 했다. 문 대통령은 소득 주도 성장 실험을 그만두고 정책의 방향을 바꾸면 국민의 신뢰를 잃는다고 믿는 모양이다. 그 반대로 방향을 바꿔야 대통령이 국민의 신뢰를 회복할 수 있다고 보는 사람도 많다. 문 대통령은 불과 석 달 전 소득주도성장 논란에 대해 ""최저임금 인상의 긍정적 효과가 90%""라고 했었다. 그런데 고용 재난이 왔다. 이런 상황에서 대통령이 어느 길로 가야 국민 신뢰를 얻겠나."
"최저임금","조선일보","[데스크에서] 연말이면 경제 좋아진다고?","입력 2018.08.21 03:13
","지금 문재인 정부 경제팀은 ""서너 달만 넘기면 일자리 상황이 나아질 것""이라 기대하며 버티고 있다. 장하성 청와대 정책실장이 지난 19일 당·정·청 회의에서 ""정부 대책이 시행되는 연말이면 상황이 개선될 것""이라고 말한 것은 이런 맥락에서다. 고용 참사로 온 나라가 들끓는데도 눈 하나 깜짝하지 않는다.'고집'에 나름 근거는 있다. 우선 정부가 청년과 노인 실업에 세금을 들어부은 효과가 곧 나타날 것이다. 다음 달부터 65세 이상 어르신에게 주는 기초연금이 한 달 20만원에서 25만원으로 오르고, 내년부터는 저소득층 어르신들에게는 30만원이 돌아간다. 정부는 올해 중소기업에 취업한 청년에게 1000만원 넘는 혜택을 준다며 추경을 편성했는데, 취업 청년에게 현금을 얹어주는 이 조치는 앞으로 3~4년 계속된다.시중에 정부 돈을 풀을 때 약발이 도는 시차(時差)는 6개월쯤이다. 그러니 올 연말에 아무 일이 없으면 그게 차라리 이상한 일이다. 게다가 통계적으로 내년부터 일자리 지표에 기저(基底) 효과도 발생한다. 올해 고용 상황이 워낙 최악인지라 내년에 조금만 나아져도 외형 지표가 크게 좋아진다는 말이다. 정부는 올해 최악의 일자리 성적표를 받아들면서 ""지난해 지표가 워낙 좋아 올해가 상대적으로 안 좋다""고 변명해 왔는데, 내년에는 반대 상황이 벌어진다는 얘기다.이런 요인이 작동하면 일자리 상황이 외관상 어느 정도 나아질 것이다. 청와대 실세들도 알고, 경제 관료들도 알고, 민간 경제 전문가들도 다 아는 빤한 논리 구조이다. 하지만 지난해 늘어난 취업자만 31만명이었는데, 최근 1년 동안 20조원이 넘는 세금을 쏟아붓고 겨우 그 수준 근처로 돌아가는 것을 개선이라고 할 수 있을까. 정부 주장대로라면 '경제는 회복세를 지속'하고 있는데 말이다.국가 운용이라는 큰 틀에서 볼 때 정부가 소득 주도 성장에 매달리며 허비한 혈세(血稅)만 아까운 게 아니다. 미래 준비를 위한 시간과 국가적 에너지가 낭비되고 있다. 지금 우리 경제를 위협하는 더 큰 공포는 무역과 밑바닥 실물 경제에 있다. 즉 노쇠한 주력 산업을 혁신하고 4차 산업혁명 시대에 걸맞은 국가 경제 대계(大計)를 짜야 한다. 기업들은 높아지는 무역 장벽에 잠이 안 온다고 하소연한다.중국·인도 등 신흥국은 물론 미국·일본·프랑스 같은 선진국들도 경제 틀을 바꾸는 일에 필사적으로 매달려 저마다 성과를 내고 있다. '생존' 자체가 발등에 떨어진 불이기 때문이다. 1년 내내 최저임금 문제로 헛심을 쓴 경제팀은 언제 이런 문제에 관심을 쏟을 건가. 경중(輕重)과 선후(先後)라는 기본을 무시한 정책 독선(獨善)과 독주(獨走)의 대가가 너무 혹독하지 않기를 바랄 뿐이다."
"최저임금","조선일보","'장하성 아파트'도 경비원 줄인다","입력 2018.08.21 03:01
","장하성 청와대 정책실장이 살고 있는 서울 송파구 잠실동 아시아선수촌 아파트도 최근 경비원 감원을 추진하고 있는 것으로 20일 전해졌다. 장 실장이 추진해 온 최저임금 인상 및 근로시간 단축 정책의 여파 때문이라고 한다.이 아파트 관리사무소와 입주자대표회의 등에 따르면 아파트 소유자들은 다음 달 1일부터 15일까지 아파트 현관에 자동문을 설치하고 경비원들의 주야간 맞교대 근무를 '격일 12시간 근무제'로 변경하는 내용을 골자로 한 '경비 시스템 개선안'에 대해 찬반 투표를 진행키로 했다.개선안대로라면 현재 116명인 경비 인원은 64명으로 줄어든다. 자동문 설치에는 2억5000만원이 들고, 보안을 강화하기 위한 폐쇄회로(CC)TV 설치에도 1억5000만원이 든다고 한다. 아파트 측은 개선안이 통과될 경우 자동문과 CCTV 설치 비용은 인건비 감소에 따라 4개월 안에 회수될 것으로 전망했다.아파트 주민들은 이 같은 개선안을 마련하게 된 이유로 최저임금 인상과 근로시간 단축제도를 꼽았다. 최저임금이 16.4% 인상돼 인건비가 급증한 데다가 주 52시간 근무 기준에 맞추기 위해선 12시간 맞교대인 현행 근무 시스템을 3교대제로 바꿔야 한다는 것이다."
"최저임금","조선일보","인건비 부담에… '자판기형 무인 편의점' 등장","입력 2018.08.21 03:01
     | 수정 2018.08.21 08:45
","급격한 최저임금 인상의 직격탄을 맞은 편의점 업계에서 무인화(無人化) 바람이 거세게 불고 있다. 최저임금이 2년간 29.1%가 치솟는 초유의 사태에 점주들이 알바생 줄이기에 나서자, 가맹본부들은 인건비 부담으로 24시간 운영을 포기하는 점주들 숨통을 틔워주기 위해 자판기형 무인 매장을 속속 도입하고 있다."
"최저임금","조선일보","[朝鮮칼럼 The Column] 정책이 '聖域' 되면 경제가 멍든다","입력 2018.08.20 03:17
","""정책이란 풍선과 같다. 한쪽을 누르면 다른 어디에선가 부풀게 되어있다. 그래서 정책을 추진할 때 한쪽 면만 봐서는 안 된다."" 필자가 관료 시절 선배들로부터 귀 따갑게 듣던 말이다. 정책은 살아 움직이기 때문에 그 파급 효과를 무시하면 안 된다는 뜻이다. 그런데 실제에 있어서는 파급 효과를 무시하다가 폐해를 본 경우가 종종 있었다.대표적인 사례가 1999년 의약분업 시책이다. 약물 오·남용 방지와 의약품 리베이트 근절이라는 좋은 명분에서 시작됐지만 정책 수요자에 대한 고려가 없었다. 의약품 판매 수익을 약국에 빼앗기게 된 의료계가 파업 등 강력 반발하니 정부는 의사들을 무마하기 위해 의료수가를 40% 이상 인상해 주었다. 그 결과 건강보험 재정에 구멍이 뚫렸다. 적자를 메우기 위해 당시로선 천문학적 금액인 16조원의 세금이 투입되었다. 한편 의사들 수입이 좋아지니 대학입시에서 의대 지원 붐이 일어났다. 서울대 공대보다 지방 의대의 인기가 더 좋아졌다. 이공계 기피 현상이 심해지자 정부는 이공계 장학금 제도를 만들고 여기에 또 세금을 부어 넣었다.당시 의약분업은 대통령 공약이란 이유로 파급 영향에 대한 고려 없이 밀어붙이다가 국가적으로 큰 손실을 초래했다. 최근 논란이 되고 있는 최저임금 인상도 비슷하다. 자영업자 입장을 생각하지 않고 강행하다가 역풍을 맞았다. 뒤늦게 재정 지원, 카드 수수료와 임대료 인하, 세무조사 유예 등으로 달래보지만 역부족이다. 인구 절벽에, '김영란법'에, 경기 침체에, 금리 인상까지 오면 자영업자들은 사실상 설 곳이 없다.탈원전도 마찬가지다. 나름 명분은 있지만 파급 영향이 어디까지 갈지 가늠이 잘 안 된다. 이미 수천억원의 예산이 낭비되고 전기요금 인상이 불가피해진 것은 차치하고라도 화력발전 확대에 의존하다 보니 미세 먼지 등 환경은 더 악화됐다.더 큰 걱정은 대학생들의 원자력 전공 기피 현상이다. 수십 년간 키워온 미래 산업이 붕괴되고 안보도 큰 걱정이다. 앞으로 우리 주변국들은 모두 핵무기로 무장할 가능성이 높다. 북한이 완전 비핵화할 것으로 믿는 사람은 거의 없다. 일본은 핵무기 수천 개를 만들 수 있는 플루토늄을 가지고 있고 기술력도 충분해서 마음만 먹으면 만들 수 있다고 한다. 30년 후 원자력 전문가 없이 핵 보유 국가들에 둘러싸여 있게 될 우리 처지는 생각만 해도 아찔하다.재정 정책 역시 한쪽만 바라보니 효율이 떨어진다. 선진국에서 경제 활성화를 위해 재정 정책을 펴는 경우 방향은 두 가지다. 재정지출을 확대하거나 감세(減稅)를 한다. 그런데 우리는 지출을 늘리면서 거꾸로 증세를 하니 정책의 효과가 반감(半減)될 수밖에 없다. 부자 증세이니까 괜찮다고 하는 정치인들을 보면 참 뭐라 말하기 어렵다.일자리 정책은 더 심각하다. 최근 일자리가 줄어든다고 아우성이지만 이것은 이미 예견된 일이다. 정부가 앞장서 인건비를 올리고 노동시장을 경직시키는 상황에서 일자리가 창출될 리 없다. 반(反)기업 정책을 양산하면서 기업들의 투자를 기대하는 것도 무리이다. 노동계가 야심 차게 추진한 근로시간 단축 역시 부작용이 더 클 것으로 우려된다. 이 모두가 정책을 한쪽 면만 보고 추진한 결과이다.유독 현 정부 들어 이런 상황이 많이 발생하고 있는데 그 원인은 시민단체나 노조가 정책을 주도하는 것과 무관하지 않다고 본다. 이들은 대체로 이념 성향이 강하다. 자기 이념에 부합하는 것에 대해서는 애착이 강하지만 전체 경제를 보는 눈은 부족하다. 관료들과 달리 정책 경험이 없기 때문이다. 정책이 이념에 따라 성역화되고 각개약진하다 보니 상충되거나 혹은 예기치 않은 부작용으로 몸살을 앓게 된다.경제는 경제 논리로 풀어야 한다. 이념이나 정치가 개입하는 순간 멍들기 시작한다. 정말로 일자리를 중시한다면 임금 인상보다 노동시장 경직성을 완화하고, 기업들이 신바람 나게 일할 수 있는 환경을 만들어 주어야 한다. 그런데 만약 근로자 권익이나 공정 사회가 우선순위라면 일자리는 언급하지 않는 것이 맞다. 지금처럼 형평도 중요하고, 성장도 중요하고, 대기업도 손봐야 하고, 일자리도 늘려야 한다는 식으로 운영하면 서로 부딪칠 수밖에 없다.지금 우리를 둘러싸고 있는 경제 환경은 매우 안 좋다. 여기에 정책마저 이념에 막혀 신뢰를 잃으면 민생은 더 나빠진다. 지금 시점에서 정책 기조를 다시 다듬고 경제는 경제 논리로 운영될 수 있도록 경제 관료들에게 힘을 실어주는 것이 필요하다고 본다."
"최저임금","조선일보","[태평로] '권력 無오류'의 환상","입력 2018.08.20 03:15
","요즘 청와대 정책 라인에서 가장 자주 들리는 얘기는 ""조만간 일자리 상황이 나아질 테니 두고 보라""는 말이다. 장하성 청와대 정책실장은 19일에도 ""소득 주도 성장 등 효과로 연말에는 나아질 것""이라고 했다. 고용 참사와 경기 악화에 따른 시중의 절박한 분위기와는 엄청난 거리감이 있다. 낙관론의 근거는 명확하지 않지만, 문재인 정부의 기본 정책 방향은 문제가 없다는 얘기였다.그러나 경제 부처에서 나오는 말은 달랐다. ""최저임금 인상과 주 52시간제 실시 이후 소득 주도 성장이 한계에 부딪혔는데 청와대 눈치 보느라 아무도 말을 못 한다""는 것이다. 정부 내에서 '일자리 담당 부서'는 기피 대상이 된 지 오래다. 시민 단체와 운동권 출신 청와대 참모들에 대한 불만도 이만저만이 아니다. 하지만 한 고위 공무원은 ""서슬이 퍼런 청와대를 향해 누가 감히 정책이 잘못됐다고 말하겠느냐""고 했다.문재인 대통령이 화내는 일도 잦아졌다. 이미 일자리와 혁신 성장 문제로 정부를 몇 차례 질책했고, 국민연금 개편에 대해선 ""내가 보기에도 납득할 수 없는 일""이라고 했다. 일이 제대로 돌아가지 않으니 대통령으로선 당연히 화가 날만하다. 하지만 정부가 8개월 넘게 수십조원을 퍼부었는데도 이런 고용 참사가 벌어졌다면 일찌감치 시각을 바꿔야 했다. 경제 부처의 무능(無能)을 탓하기 앞서 현 정권의 정책 방향부터 되돌아보는 게 순리다.대통령이 화를 내면 관료들은 입을 닫고 시키는 일만 하게 된다. 자영업자와 중소기업들이 ""도저히 법을 지킬 수 없다""며 연일 불복 운동을 벌이고 있지만, 현장 목소리는 청와대 담장을 넘어가지 못하고 있다. 왜 일자리가 줄어드는지 현장을 찾아가 보면 알 만한데도, 청와대는 요지부동이다. ""홍보가 잘못됐다""며 오히려 친문(親文)·운동권 출신을 줄줄이 보강하고 있다.19일 부랴부랴 열린 고위 당·정·청(黨政靑) 회의에서도 '세금 쏟아붓기' 대책만 되풀이됐다. 김동연 경제부총리가 ""정책 수정도 검토할 수 있다""고 했지만, 청와대와 여당에 제동이 걸렸다. 특히 청와대는 누가 뭐래도 궤도 수정은 없다는 태도다.탈원전(脫原電)과 4대강 문제도 마찬가지다. 멀쩡한 원전을 정지시켜 전력 부족, 전기료 인상 위기를 자초하더니, 4대강 보(洑)를 개방했다가 물 부족으로 다시 둑을 쌓고 있다. 정부는 그간 전(前) 정권 정책은 세세한 부분까지 파헤쳐 적폐로 몰아왔다. 그런데 유독 자기 정책은 부작용이 뻔히 보이는데도 '문제없다'며 오류 수정을 거부하고 있다. 이를 위해 곳곳에서 공론화위원회까지 가동하고 있다.문 대통령은 소신과 약속을 중시한다고 한다. 하지만 소신이 지나치면 고집이 되고, 그게 심해지면 국정(國政)이 표류할 수 있다. 영국의 정치인이자 학자인 해럴드 래스키는 ""권력은 무(無)오류성이라는 치명적 환상을 만들어낸다. 그 때문에 반드시 중대한 오류가 발생한다""고 했다. 권력이 자기 정당성을 강조하거나 열성적 지지층에 둘러싸일수록 '나는 옳다'는 독선에 빠지기 쉽다.역대 정부도 그랬다. 노무현 정부는 '4대 입법', 이명박 정부는 임기 내 '4대강 사업'을 밀어붙였고, 박근혜 정부는 '배신의 정치 심판'에 나섰다. 하지만 이는 국정 동력 상실과 여권 분열로 이어졌다.아무리 좋은 취지로 시작했더라도 현실에 맞지 않으면 오류 수정이 필요하다. 지지층의 비판도 감수해야 한다. 정책 반대를 기득권의 저항이라 몰아붙이고 시장이 잘못됐다고 하면 상황은 더 악화될 뿐이다. 권력도 시장(市場)도 오류에 빠질 수 있다. 하지만 권력의 오류가 훨씬 치명적이다."
"최저임금","조선일보","장하성 ""정책 곧 효과"" vs 김동연 ""수정 검토""","입력 2018.08.20 03:00
","청와대와 정부, 더불어민주당은 19일 최근 고용 악화와 관련해 국회 의원회관에서 고위 당·정·청(黨政靑) 회의를 열고 일자리 대책을 논의했지만 상당한 시각차를 드러냈다.김동연 경제부총리는 ""필요하면 경제정책 수정도 검토하겠다""며 최저임금과 소득주도성장 정책에서 변화 가능성을 시사했지만, 장하성 청와대 정책실장은 ""정부 대책이 시행되면 연말엔 상황이 개선될 것""이라고 제동을 걸었다. 최근 경제정책 속도조절론을 놓고 맞섰던 두 경제 사령탑이 다시 이견을 보인 것이다.민주당은 청와대의 '기조 유지론'에 무게를 실었다. 이에 따라 당·정·청은 정책 변화 대신 추경 등 예산을 투입하는 일자리 대책을 주로 발표했다.김 부총리는 이날 회의 모두발언에서 ""고용 문제가 어려운 것은 구조 요인, 경제 요인, 정책 요인이 작용한 것이기 때문""이라며 ""추진한 경제정책도 그간의 효과를 되짚어 보고 필요한 경우에는 관계 부처와 당과 협의해 개선, 수정하는 방향도 검토하겠다""고 말했다. 2년간 최저임금 29% 인상, 예외 없는 주 52시간 근로 등에 대한 경제 현장의 반발을 반영할 수 있다는 뜻을 비친 것이다. 김 부총리는 또 ""재정, 규제, 노동시장 변화와 시장 역동성을 살리는 데 최선을 다하겠다""고도 했다.그러나 장하성 정책실장은 곧바로 ""소득주도성장, 혁신성장, 공정경제 정책들이 효과를 내기 시작하면 우리 경제가 활력을 띠고 경제 지속 가능성이 커질 것""이라며 ""(그 결과) 저소득층과 중산층이 성장의 성과를 체감하고 연말쯤이면 고용상황도 개선될 것""이라고 했다. 장 실장은 재정지출 확대와 자영업자 지원 대책을 강조했다.홍영표 민주당 원내대표는 ""다소 시간이 걸려도 지속가능한 경제구조를 만들어가야 한다""면서 ""자영업 문제도 일시적 대책을 넘어 구조적 해법을 마련해야 한다""고 했다. 당·정·청은 이날 1시간 40분간 회의 뒤 ""4조원 규모 재정 보강 패키지를 신속 추진하고, 내년도 일자리 예산을 올해 증가율(12.6%) 이상으로 확대하겠다""고 했다.김태년 민주당 정책위의장은 ""향후 5년 동안 당초 계획보다 60조원 이상의 세수가 더 확보될 예정""이라며 ""예년에 비해 상당한 (재정의) 확장 폭이 있을 것""이라고도 했다. 경제 전문가들은 ""결국 세금을 쏟아붓겠다는 얘기""라고 지적했다."
"최저임금","조선일보","友軍 없는 김동연","입력 2018.08.20 03:00
","19일 국회에서 열린 긴급 당·정·청(黨政靑) 회의에서 김동연 경제부총리와 장하성 청와대 정책실장은 '고용 쇼크'에 대한 진단과 해법에서 엇갈린 시각을 드러냈다. 장 실장은 모두발언에서 ""연말이면 (고용 상황이) 개선될 것""이라며 ""조금만 기다려 달라""고 했다. 반면, 김 부총리는 ""필요한 경우, 경제 정책의 개선·수정""을 언급했다. 문재인 정부의 '경제 투톱'이 보인 이견(異見)에 대해 여당은 ""(정책 실패보다는) 구조적 문제에서 비롯된 고용 위기""라며 사실상 장 실장의 손을 들어줬다.이날 김 부총리는 ""그간 추진한 경제 정책의 효과를 되짚어보고 필요한 경우엔 관계 부처, 당과 협의해 개선·수정하는 방향도 검토하겠다""고 했다. 이는 고용 악화를 유발한 최저임금 인상 등의 정책을 재검토하고 수정도 할 수 있다는 의미로 해석됐다."
"최저임금","조선일보","'세금주도 일자리' 최악의 실패에도… 예산 더 쏟아붓겠다는 黨靑","입력 2018.08.20 03:00
","정부와 여당이 '일자리 쇼크'를 해결하기 위해 내년에 일자리에 더 많은 예산을 퍼붓기로 19일 합의했다. 올해 본예산과 추경을 합쳐 20조원 이상을 일자리에 퍼부었는데도 고용 참사가 빚어지자 일자리 예산 증가율을 올해(12.6%)보다 더 늘리겠다는 것이다. 결국 내년에 최소 22조5000억원이 일자리 예산으로 투입될 전망이다. 문제는 이미 펑펑 쓰고 있는 정부 일자리 예산이 효과가 미미한 데다 제대로 집행도 되지 않은 채 줄줄 새고 있다는 점이다. 그러나 지지율 급락에 당황한 정부·여당은 '될 때까지 재정을 투입하겠다'며 오기(傲氣)를 부리고 있다.◇일자리 하나당 1억 넘게 써기획재정부와 국회예산정책처 등에 따르면 올해 정부가 배정한 일자리 예산은 약 19조2300억원, 취업자 증가 목표치는 18만명이다. 정부의 직접 고용뿐 아니라 민간 기업이 창출하는 일자리를 모두 합친 숫자다. 취업자 증가 수를 일자리 예산으로 나누면 일자리 1개를 만드는 데 1억684만원이 들어간다는 계산이 나온다. 이는 지난해 늘어난 일자리 1개당 예산 (5403만원)의 2배에 가깝다."
